FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Knight, Black, 5, 7
FINAL MOVE: 0, Knight, Black, 5, 5
FINAL MOVE: -1300, Knight, Black, 1, 5
FINAL MOVE: -1150, Knight, Black, 4, 4
FINAL MOVE: -1300, Knight, Black, 2, 8
FINAL MOVE: -1300, Knight, Black, 2, 4
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Queen, Black, 5, 7
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: -1300, King, Black, 5, 7
FINAL MOVE: 5200, King, Black, 7, 8
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 5, 7
FINAL MOVE: 0, Bishop, Black, 5, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Pawn, Black, 7, 6
FINAL MOVE: -1300, Pawn, Black, 7, 5
FINAL MOVE: -1300, Knight, Black, 6, 4
FINAL MOVE: -1300, Knight, Black, 7, 3
FINAL MOVE: -1300, Pawn, Black, 8, 6
FINAL MOVE: -1300, Rook, Black, 7, 8
FINAL MOVE: -1300, Rook, Black, 6, 8
MAX CHOSEN: 5200, Knight, White, 4, 2
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Pawn, Black, 1, 5
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Knight, Black, 5, 7
FINAL MOVE: 0, Knight, Black, 5, 5
FINAL MOVE: -1300, Knight, Black, 1, 5
FINAL MOVE: -1150, Knight, Black, 4, 4
FINAL MOVE: -1300, Knight, Black, 2, 8
FINAL MOVE: -1300, Knight, Black, 2, 4
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Queen, Black, 5, 7
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: -1300, King, Black, 5, 7
FINAL MOVE: 5200, King, Black, 7, 8
FINAL MOVE: 1400, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 5, 7
FINAL MOVE: 0, Bishop, Black, 5, 5
FINAL MOVE: -1300, Pawn, Black, 7, 6
FINAL MOVE: -1300, Knight, Black, 6, 4
FINAL MOVE: -1300, Knight, Black, 7, 3
FINAL MOVE: -1300, Pawn, Black, 8, 6
FINAL MOVE: -1300, Rook, Black, 7, 8
FINAL MOVE: -1300, Rook, Black, 6, 8
MAX CHOSEN: 5200, Knight, White, 7, 5
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Pawn, Black, 1, 5
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Knight, Black, 5, 7
FINAL MOVE: 0, Knight, Black, 5, 5
FINAL MOVE: -1300, Knight, Black, 1, 5
FINAL MOVE: -1150, Knight, Black, 4, 4
FINAL MOVE: -1300, Knight, Black, 2, 8
FINAL MOVE: -1300, Knight, Black, 2, 4
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Queen, Black, 5, 7
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: -1300, King, Black, 5, 7
FINAL MOVE: 5200, King, Black, 7, 8
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 5, 7
FINAL MOVE: 0, Bishop, Black, 5, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Pawn, Black, 7, 6
FINAL MOVE: -1300, Pawn, Black, 7, 5
FINAL MOVE: -1300, Knight, Black, 6, 4
FINAL MOVE: -1300, Knight, Black, 7, 3
FINAL MOVE: -1300, Pawn, Black, 8, 6
FINAL MOVE: -1300, Rook, Black, 7, 8
FINAL MOVE: -1300, Rook, Black, 6, 8
MAX CHOSEN: 5200, Knight, White, 7, 1
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Pawn, Black, 1, 5
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Knight, Black, 5, 7
FINAL MOVE: 0, Knight, Black, 5, 5
FINAL MOVE: -1300, Knight, Black, 1, 5
FINAL MOVE: -1150, Knight, Black, 4, 4
FINAL MOVE: -1300, Knight, Black, 2, 8
FINAL MOVE: -1300, Knight, Black, 2, 4
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Queen, Black, 5, 7
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: -1300, King, Black, 5, 7
FINAL MOVE: 5200, King, Black, 7, 8
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 5, 7
FINAL MOVE: 0, Bishop, Black, 5, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Pawn, Black, 7, 6
FINAL MOVE: -1300, Pawn, Black, 7, 5
FINAL MOVE: -1300, Knight, Black, 6, 4
FINAL MOVE: -300, Knight, Black, 7, 3
FINAL MOVE: -1300, Pawn, Black, 8, 6
FINAL MOVE: -1300, Rook, Black, 7, 8
FINAL MOVE: -1300, Rook, Black, 6, 8
MAX CHOSEN: 5200, Pawn, White, 7, 3
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Pawn, Black, 1, 5
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Knight, Black, 5, 7
FINAL MOVE: 0, Knight, Black, 5, 5
FINAL MOVE: -1300, Knight, Black, 1, 5
FINAL MOVE: -1150, Knight, Black, 4, 4
FINAL MOVE: -1300, Knight, Black, 2, 8
FINAL MOVE: -1300, Knight, Black, 2, 4
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Queen, Black, 5, 7
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: -1300, King, Black, 5, 7
FINAL MOVE: 5200, King, Black, 7, 8
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 5, 7
FINAL MOVE: 0, Bishop, Black, 5, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Pawn, Black, 7, 6
FINAL MOVE: -1300, Pawn, Black, 7, 5
FINAL MOVE: -1300, Knight, Black, 6, 4
FINAL MOVE: -1300, Knight, Black, 7, 3
FINAL MOVE: -1300, Pawn, Black, 8, 6
FINAL MOVE: -1300, Rook, Black, 7, 8
FINAL MOVE: -1300, Rook, Black, 6, 8
MAX CHOSEN: 5200, Pawn, White, 7, 4
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Pawn, Black, 1, 5
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Knight, Black, 5, 7
FINAL MOVE: 0, Knight, Black, 5, 5
FINAL MOVE: -1300, Knight, Black, 1, 5
FINAL MOVE: -1150, Knight, Black, 4, 4
FINAL MOVE: -1300, Knight, Black, 2, 8
FINAL MOVE: -1300, Knight, Black, 2, 4
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Queen, Black, 5, 7
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: -1300, King, Black, 5, 7
FINAL MOVE: 5200, King, Black, 7, 8
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 5, 7
FINAL MOVE: 0, Bishop, Black, 5, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Pawn, Black, 7, 6
FINAL MOVE: -1300, Pawn, Black, 7, 5
FINAL MOVE: -1300, Knight, Black, 6, 4
FINAL MOVE: -1300, Knight, Black, 7, 3
FINAL MOVE: -1300, Pawn, Black, 8, 6
FINAL MOVE: -1300, Rook, Black, 7, 8
FINAL MOVE: -1300, Rook, Black, 6, 8
MAX CHOSEN: 5200, Rook, White, 7, 1
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Pawn, Black, 1, 5
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Knight, Black, 5, 7
FINAL MOVE: 0, Knight, Black, 5, 5
FINAL MOVE: -1300, Knight, Black, 1, 5
FINAL MOVE: -1150, Knight, Black, 4, 4
FINAL MOVE: -1300, Knight, Black, 2, 8
FINAL MOVE: -1300, Knight, Black, 2, 4
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Queen, Black, 5, 7
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: -1300, King, Black, 5, 7
FINAL MOVE: 5200, King, Black, 7, 8
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 5, 7
FINAL MOVE: 0, Bishop, Black, 5, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Pawn, Black, 7, 6
FINAL MOVE: -1300, Pawn, Black, 7, 5
FINAL MOVE: -1300, Knight, Black, 6, 4
FINAL MOVE: -1300, Knight, Black, 7, 3
FINAL MOVE: -1300, Pawn, Black, 8, 6
FINAL MOVE: -1300, Rook, Black, 7, 8
FINAL MOVE: -1300, Rook, Black, 6, 8
MAX CHOSEN: 5200, Rook, White, 6, 1
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Pawn, Black, 1, 5
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Knight, Black, 5, 7
FINAL MOVE: 0, Knight, Black, 5, 5
FINAL MOVE: -1300, Knight, Black, 1, 5
FINAL MOVE: -1150, Knight, Black, 4, 4
FINAL MOVE: -1300, Knight, Black, 2, 8
FINAL MOVE: -1300, Knight, Black, 2, 4
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Queen, Black, 5, 7
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: -1300, King, Black, 5, 7
FINAL MOVE: 5200, King, Black, 7, 8
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 5, 7
FINAL MOVE: 0, Bishop, Black, 5, 5
FINAL MOVE: -1300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Pawn, Black, 7, 6
FINAL MOVE: -1300, Pawn, Black, 7, 5
FINAL MOVE: -1300, Knight, Black, 6, 4
FINAL MOVE: -1300, Knight, Black, 7, 3
FINAL MOVE: -1300, Pawn, Black, 8, 6
FINAL MOVE: -1300, Rook, Black, 7, 8
FINAL MOVE: -1300, Rook, Black, 6, 8
MAX CHOSEN: 5200, Pawn, White, 8, 3
FINAL MOVE: -1300, Pawn, Black, 1, 6
FINAL MOVE: -1300, Pawn, Black, 1, 5
FINAL MOVE: -1300, Rook, Black, 2, 8
FINAL MOVE: -1300, Pawn, Black, 2, 6
FINAL MOVE: -1300, Pawn, Black, 2, 5
FINAL MOVE: -1300, Knight, Black, 5, 7
FINAL MOVE: 0, Knight, Black, 5, 5
FINAL MOVE: -1300, Knight, Black, 1, 5
FINAL MOVE: -1150, Knight, Black, 4, 4
FINAL MOVE: -1300, Knight, Black, 2, 8
FINAL MOVE: -1300, Knight, Black, 2, 4
FINAL MOVE: -1300, Pawn, Black, 4, 6
FINAL MOVE: -1150, Pawn, Black, 4, 5
FINAL MOVE: -1300, Queen, Black, 5, 7
FINAL MOVE: -1300, King, Black, 6, 8
FINAL MOVE: -1300, King, Black, 5, 7
FINAL MOVE: 5200, King, Black, 7, 8
FINAL MOVE: -1300, Bishop, Black, 7, 5
FINAL MOVE: -1300, Bishop, Black, 5, 7
FINAL MOVE: 0, Bishop, Black, 5, 5
FINAL MOVE: -300, Bishop, Black, 8, 4
FINAL MOVE: -1300, Pawn, Black, 7, 6
FINAL MOVE: -1300, Pawn, Black, 7, 5
FINAL MOVE: -1300, Knight, Black, 6, 4
FINAL MOVE: -1300, Knight, Black, 7, 3
FINAL MOVE: -1300, Pawn, Black, 8, 6
FINAL MOVE: -1300, Rook, Black, 7, 8
FINAL MOVE: -1300, Rook, Black, 6, 8
MAX CHOSEN: 5200, Pawn, White, 8, 4
MAX CHOSEN: -1300, Bishop, Black, 6, 6
